Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,1,80,7/17/2019  18:23:07,
2,C,F,F,1,80,7/17/2019  18:23:07,
3,C,F,F,1,82,7/17/2019  18:23:07,
4,C,F,F,1,82,7/17/2019  18:23:07,
5,C,F,F,1,83,7/17/2019  18:23:07,
6,C,F,F,1,83,7/17/2019  18:23:07,
7,C,F,F,1,83,7/17/2019  18:23:07,
8,NA,T,NA,1,NA,7/17/2019  18:23:07,
9,HS,F,F,1,80,7/17/2019  18:23:07,
10,HS,F,F,1,80,7/17/2019  18:23:07,
11,HS,F,F,1,82,7/17/2019  18:23:07,
12,HS,F,F,1,82,7/17/2019  18:23:07,
13,HS,F,F,1,83,7/17/2019  18:23:07,
14,HS,F,F,1,83,7/17/2019  18:23:07,
15,HS,F,F,1,83,7/17/2019  18:23:07,
16,NA,T,NA,1,NA,7/17/2019  18:23:07,
17,R,F,F,1,80,7/17/2019  18:23:07,
18,R,F,F,1,80,7/17/2019  18:23:07,
19,R,F,F,1,82,7/17/2019  18:23:07,
20,R,F,F,1,82,7/17/2019  18:23:07,
21,R,F,F,1,83,7/17/2019  18:23:07,
22,R,F,F,1,83,7/17/2019  18:23:07,
23,R,F,F,1,83,7/17/2019  18:23:07,
24,C,F,F,1,80,7/17/2019  18:23:07,
25,C,F,F,1,80,7/17/2019  18:23:07,
26,C,F,F,1,82,7/17/2019  18:23:07,
27,C,F,F,1,82,7/17/2019  18:23:07,
28,C,F,F,1,83,7/17/2019  18:23:07,
29,C,F,F,1,83,7/17/2019  18:23:07,
30,NA,T,NA,1,NA,7/17/2019  18:23:07,
31,NA,T,NA,1,NA,7/17/2019  18:23:07,
32,HS,F,F,1,80,7/17/2019  18:23:07,
33,HS,F,F,1,80,7/17/2019  18:23:07,
34,HS,F,F,1,82,7/17/2019  18:23:07,
35,HS,F,F,1,82,7/17/2019  18:23:07,
36,HS,F,F,1,83,7/17/2019  18:23:07,
37,HS,F,F,1,83,7/17/2019  18:23:07,
38,NA,T,NA,1,NA,7/17/2019  18:23:07,
39,NA,T,NA,1,NA,7/17/2019  18:23:07,
40,R,F,F,1,80,7/17/2019  18:23:07,
41,R,F,F,1,80,7/17/2019  18:23:07,
42,R,F,F,1,82,7/17/2019  18:23:07,
43,R,F,F,1,82,7/17/2019  18:23:07,
44,R,F,F,1,83,7/17/2019  18:23:07,
45,R,F,F,1,83,7/17/2019  18:23:07,
46,NA,T,NA,1,NA,7/17/2019  18:23:07,
47,C,F,F,1,80,7/17/2019  18:23:07,
48,C,F,F,1,80,7/17/2019  18:23:07,
49,C,F,F,1,82,7/17/2019  18:23:07,
50,C,F,F,1,82,7/17/2019  18:23:07,
51,C,F,F,1,83,7/17/2019  18:23:07,
52,C,F,F,1,83,7/17/2019  18:23:07,
53,NA,T,NA,1,NA,7/17/2019  18:23:07,
54,NA,T,NA,1,NA,7/17/2019  18:23:07,
55,HS,F,F,1,80,7/17/2019  18:23:07,
56,HS,F,F,1,80,7/17/2019  18:23:07,
57,HS,F,F,1,82,7/17/2019  18:23:07,
58,HS,F,F,1,82,7/17/2019  18:23:07,
59,HS,F,F,1,83,7/17/2019  18:23:07,
60,HS,F,F,1,83,7/17/2019  18:23:07,
61,NA,T,NA,1,NA,7/17/2019  18:23:07,
62,NA,T,NA,1,NA,7/17/2019  18:23:07,
63,R,F,F,1,80,7/17/2019  18:23:07,
