Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,Notes
1,C,F,F,4,88,
2,C,F,F,4,88,
3,C,F,F,4,87,
4,C,F,F,4,87,
5,C,F,F,4,86,
6,C,F,F,4,86,
7,NA,T,NA,4,NA,
8,NA,T,NA,4,NA,
9,HS,F,F,4,88,
10,HS,F,F,4,88,
11,HS,F,F,4,87,
12,HS,F,F,4,87,
13,HS,F,F,4,86,
14,HS,F,F,4,86,
15,NA,T,NA,4,NA,
16,NA,T,NA,4,NA,
17,R,F,F,4,88,
18,R,F,F,4,88,
19,R,F,F,4,87,
20,R,F,F,4,87,
21,R,F,F,4,86,
22,NA,F,F,4,86,
23,NA,T,NA,4,NA,
24,C,F,F,4,88,
25,C,F,F,4,88,
26,C,F,F,4,87,
27,C,F,F,4,87,
28,C,F,F,4,86,
29,C,F,F,4,86,
30,NA,T,NA,4,NA,
31,NA,T,NA,4,NA,
32,HS,F,F,4,88,
33,HS,F,F,4,88,
34,HS,F,F,4,87,
35,HS,F,F,4,87,
36,HS,F,F,4,86,
37,HS,F,F,4,86,
38,NA,T,NA,4,NA,
39,NA,T,NA,4,NA,
40,R,F,F,4,88,
41,R,F,F,4,88,
42,R,F,F,4,87,
43,R,F,F,4,87,
44,R,F,F,4,86,
45,NA,F,F,4,86,
46,NA,T,NA,4,NA,
47,C,F,F,4,88,
48,C,F,F,4,88,
49,C,F,F,4,87,
50,C,F,F,4,87,
51,C,F,F,4,86,
52,C,F,F,4,86,
53,NA,T,NA,4,NA,
54,NA,T,NA,4,NA,
55,HS,F,F,4,88,
56,HS,F,F,4,88,
57,HS,F,F,4,87,
58,HS,F,F,4,87,
59,HS,F,F,4,86,
60,HS,F,F,4,86,
61,NA,T,NA,4,NA,
62,NA,T,NA,4,NA,
63,R,F,F,4,88,
64,R,F,F,4,88,
65,R,F,F,4,87,
66,R,F,F,4,87,
67,R,F,F,4,86,
68,NA,F,F,4,86,
69,NA,T,NA,4,NA,
70,C,F,F,4,88,
71,C,F,F,4,88,
72,C,F,F,4,87,
73,C,F,F,4,87,
74,C,F,F,4,86,
75,C,F,F,4,86,
76,NA,T,NA,4,NA,
77,NA,T,NA,4,NA,
78,HS,F,F,4,88,
79,HS,F,F,4,88,
80,HS,F,F,4,87,
81,HS,F,F,4,87,
82,HS,F,F,4,86,
83,HS,F,F,4,86,
84,NA,T,NA,4,NA,
85,NA,T,NA,4,NA,
86,R,F,F,4,88,
87,R,F,F,4,88,
88,R,F,F,4,87,
89,NA,T,NA,4,NA,
90,R,F,F,4,86,
91,NA,F,F,4,86,
92,NA,T,NA,4,NA,
93,C,F,F,4,88,
94,C,F,F,4,88,
95,C,F,F,4,87,
96,NA,T,NA,4,NA,
97,C,F,F,4,86,
98,C,F,F,4,86,
99,NA,T,NA,4,NA,
100,NA,T,NA,4,NA,
101,HS,F,F,4,88,
102,HS,F,F,4,88,
103,HS,F,F,4,87,
104,NA,T,NA,4,NA,
105,HS,F,F,4,86,
106,HS,F,F,4,86,
107,NA,T,NA,4,NA,
108,NA,T,NA,4,NA,
109,R,F,F,4,88,
110,R,F,F,4,88,
111,R,F,F,4,87,
112,NA,T,NA,4,NA,
113,R,F,F,4,86,
114,NA,F,F,4,86,
115,NA,T,NA,4,NA,
116,R,F,F,5,85,
117,R,F,F,5,85,
118,R,F,F,5,81,
119,R,F,F,5,81,
120,R,F,F,5,92,
121,R,F,F,5,92,
122,NA,T,NA,5,NA,
123,NA,T,NA,5,NA,
124,C,F,F,5,85,
125,C,F,F,5,85,
126,C,F,F,5,81,
127,C,F,F,5,81,
128,C,F,F,5,92,
129,C,F,F,5,92,
130,NA,T,NA,5,NA,
131,NA,T,NA,5,NA,
132,HS,F,F,5,85,
133,HS,F,F,5,85,
134,HS,F,F,5,81,
135,HS,F,F,5,81,
136,HS,F,F,5,92,
137,HS,F,F,5,92,
138,NA,T,NA,5,NA,
139,R,F,F,5,85,
140,R,F,F,5,85,
141,R,F,F,5,81,
142,R,F,F,5,81,
143,R,F,F,5,92,
144,R,F,F,5,92,
145,NA,T,NA,5,NA,
146,NA,T,NA,5,NA,
147,C,F,F,5,85,
148,C,F,F,5,85,
149,C,F,F,5,81,
150,C,F,F,5,81,
151,C,F,F,5,92,
152,C,F,F,5,92,
153,NA,T,NA,5,NA,
154,NA,T,NA,5,NA,
155,HS,F,F,5,85,
156,HS,F,F,5,85,
157,HS,F,F,5,81,
158,HS,F,F,5,81,
159,HS,F,F,5,92,
160,HS,F,F,5,92,
161,NA,T,NA,5,NA,
162,R,F,F,5,85,
163,R,F,F,5,85,
164,R,F,F,5,81,
165,R,F,F,5,81,
166,R,F,F,5,92,
167,R,F,F,5,92,
168,NA,T,NA,5,NA,
169,NA,T,NA,5,NA,
170,C,F,F,5,85,
171,C,F,F,5,85,
172,C,F,F,5,81,
173,C,F,F,5,81,
174,C,F,F,5,92,
175,C,F,F,5,92,
176,NA,T,NA,5,NA,
177,NA,T,NA,5,NA,
178,HS,F,F,5,85,
179,NA,T,NA,5,NA,
180,HS,F,F,5,81,
181,HS,F,F,5,81,
182,HS,F,F,5,92,
183,HS,F,F,5,92,
184,NA,T,NA,5,NA,
185,R,F,F,5,85,
186,NA,T,NA,5,NA,
187,R,F,F,5,81,
188,R,F,F,5,81,
189,R,F,F,5,92,
190,R,F,F,5,92,
191,NA,T,NA,5,NA,
192,NA,T,NA,5,NA,
193,C,F,F,5,85,
194,NA,T,NA,5,NA,
195,C,F,F,5,81,
196,C,F,F,5,81,
197,C,F,F,5,92,
198,C,F,F,5,92,
199,NA,T,NA,5,NA,
200,NA,T,NA,5,NA,
201,HS,F,F,5,85,
202,NA,T,NA,5,NA,
203,HS,F,F,5,81,
204,HS,F,F,5,81,
205,HS,F,F,5,92,
206,HS,F,F,5,92,
207,NA,T,NA,5,NA,
208,R,F,F,5,85,
209,R,T,F,5,NA,
210,R,F,F,5,81,
211,R,F,F,5,81,
212,R,F,F,5,92,
213,R,F,F,5,92,
214,NA,T,NA,5,NA,
215,NA,T,NA,5,NA,
216,C,F,F,5,85,
217,NA,T,NA,5,NA,
218,C,F,F,5,81,
219,C,F,F,5,81,
220,C,F,F,5,92,
221,C,F,F,5,92,
222,NA,T,NA,5,NA,
223,NA,T,NA,5,NA,
224,HS,F,F,5,85,
225,HS,T,F,5,NA,
226,HS,F,F,5,81,
227,HS,F,F,5,81,
228,HS,F,F,5,92,
229,HS,F,F,5,92,
230,NA,T,NA,5,NA,
231,HS,F,F,6,100,
232,HS,F,F,6,100,
233,HS,F,F,6,101,
234,HS,F,F,6,101,
235,HS,F,F,6,102,
236,HS,F,F,6,102,
237,NA,T,NA,6,NA,
238,NA,T,NA,6,NA,
239,R,F,F,6,100,
240,R,F,F,6,100,
241,R,F,F,6,101,
242,R,F,F,6,101,
243,R,F,F,6,102,
244,R,F,F,6,102,
245,NA,T,NA,6,NA,
246,NA,T,NA,6,NA,
247,C,F,F,6,100,
248,C,F,F,6,100,
249,C,F,F,6,101,
250,C,F,F,6,101,
251,C,F,F,6,102,
252,C,F,F,6,102,
253,NA,T,NA,6,NA,
254,HS,F,F,6,100,
255,HS,F,F,6,100,
256,HS,F,F,6,101,
257,HS,F,F,6,101,
258,HS,F,F,6,102,
259,HS,F,F,6,102,
260,NA,T,NA,6,NA,
261,NA,T,NA,6,NA,
262,R,F,F,6,100,
263,R,F,F,6,100,
264,R,F,F,6,101,
265,R,F,F,6,101,
266,R,F,F,6,102,
267,R,F,F,6,102,
268,NA,T,NA,6,NA,
269,NA,T,NA,6,NA,
270,C,F,F,6,100,
271,NA,T,NA,6,NA,
272,C,F,F,6,101,
273,C,F,F,6,101,
274,C,F,F,6,102,
275,C,F,F,6,102,
276,NA,T,NA,6,NA,
277,HS,F,F,6,100,
278,NA,T,NA,6,NA,
279,HS,F,F,6,101,
280,HS,F,F,6,101,
281,HS,F,F,6,102,
282,NA,T,NA,6,NA,
283,NA,T,NA,6,NA,
284,NA,T,NA,6,NA,
285,R,F,F,6,100,
286,NA,T,NA,6,NA,
287,R,F,F,6,101,
288,R,F,F,6,101,
289,R,F,F,6,102,
290,NA,T,NA,6,NA,
291,NA,T,NA,6,NA,
292,NA,T,NA,6,NA,
293,C,F,F,6,100,
294,NA,T,NA,6,NA,
295,C,F,F,6,101,
296,C,F,F,6,101,
297,C,F,F,6,102,
298,NA,T,NA,6,NA,
299,NA,T,NA,6,NA,
300,HS,F,F,6,100,
301,HS,T,F,6,NA,
302,HS,F,F,6,101,
303,HS,T,F,6,NA,
304,HS,F,F,6,102,
305,HS,T,F,6,NA,
306,NA,T,NA,6,NA,
307,NA,T,NA,6,NA,
308,R,F,F,6,100,
309,NA,T,NA,6,NA,
310,R,F,F,6,101,
311,NA,T,NA,6,NA,
312,R,F,F,6,102,
313,NA,T,NA,6,NA,
314,NA,T,NA,6,NA,
315,NA,T,NA,6,NA,
316,C,F,F,6,100,
317,NA,T,NA,6,NA,
318,C,F,F,6,101,
319,NA,T,NA,6,NA,
320,C,F,F,6,102,
321,NA,T,NA,6,NA,
322,NA,T,NA,6,NA,
323,HS,F,F,6,100,
324,NA,T,NA,6,NA,
325,HS,F,F,6,101,
326,NA,T,NA,6,NA,
327,HS,F,F,6,102,
328,NA,T,NA,6,NA,
329,NA,T,NA,6,NA,
330,NA,T,NA,6,NA,
331,R,F,F,6,100,
332,NA,T,NA,6,NA,
333,R,F,F,6,101,
334,NA,T,NA,6,NA,
335,R,F,F,6,102,
336,NA,T,NA,6,NA,
337,NA,T,NA,6,NA,
338,NA,T,NA,6,NA,
339,C,F,F,6,100,
340,NA,T,NA,6,NA,
341,C,F,F,6,101,
342,NA,T,NA,6,NA,
343,C,F,F,6,102,
344,NA,T,NA,6,NA,
345,NA,T,NA,6,NA,
