Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes
1,C,F,F,4,222,7/27/2019 16:29:38,
2,C,F,F,4,222,7/27/2019 16:29:38,
3,C,F,F,4,229,7/27/2019 16:29:38,2 Flies
4,C,F,F,4,229,7/27/2019 16:29:38,
5,C,F,F,4,269,7/27/2019 16:29:38,
6,C,F,F,4,269,7/27/2019 16:29:38,
7,NA,T,NA,4,NA,7/27/2019 16:29:38,
8,NA,T,NA,4,NA,7/27/2019 16:29:38,
9,HS,F,F,4,222,7/27/2019 16:29:38,
10,HS,F,F,4,222,7/27/2019 16:29:38,
11,HS,F,F,4,229,7/27/2019 16:29:38,
12,HS,F,F,4,229,7/27/2019 16:29:38,
13,HS,F,F,4,269,7/27/2019 16:29:38,
14,HS,F,F,4,269,7/27/2019 16:29:38,
15,HS,F,F,4,269,7/27/2019 16:29:38,
16,NA,T,NA,4,NA,7/27/2019 16:29:38,
17,R,F,F,4,222,7/27/2019 16:29:38,
18,R,F,F,4,222,7/27/2019 16:29:38,
19,R,F,F,4,229,7/27/2019 16:29:38,
20,R,F,F,4,229,7/27/2019 16:29:38,
21,R,F,F,4,269,7/27/2019 16:29:38,
22,R,F,F,4,269,7/27/2019 16:29:38,
23,R,F,F,4,269,7/27/2019 16:29:38,
24,C,F,F,4,222,7/27/2019 16:29:38,
25,C,F,F,4,222,7/27/2019 16:29:38,
26,C,F,F,4,229,7/27/2019 16:29:38,
27,C,F,F,4,229,7/27/2019 16:29:38,
28,C,F,F,4,269,7/27/2019 16:29:38,
29,C,F,F,4,269,7/27/2019 16:29:38,
30,NA,T,NA,4,NA,7/27/2019 16:29:38,
31,NA,T,NA,4,NA,7/27/2019 16:29:38,
32,HS,F,F,4,222,7/27/2019 16:29:38,
33,HS,F,F,4,222,7/27/2019 16:29:38,
34,HS,F,F,4,229,7/27/2019 16:29:38,
35,HS,F,F,4,229,7/27/2019 16:29:38,
36,HS,F,F,4,269,7/27/2019 16:29:38,
37,HS,F,F,4,269,7/27/2019 16:29:38,
38,NA,T,NA,4,NA,7/27/2019 16:29:38,
39,NA,T,NA,4,NA,7/27/2019 16:29:38,
40,R,F,F,4,222,7/27/2019 16:29:38,
41,R,F,F,4,222,7/27/2019 16:29:38,
42,R,F,F,4,229,7/27/2019 16:29:38,
43,R,F,F,4,229,7/27/2019 16:29:38,
44,R,F,F,4,269,7/27/2019 16:29:38,
45,R,F,F,4,269,7/27/2019 16:29:38,
46,NA,T,NA,4,NA,7/27/2019 16:29:38,
47,C,F,F,4,222,7/27/2019 16:29:38,2 Flies
48,C,F,F,4,222,7/27/2019 16:29:38,
49,NA,T,NA,4,NA,7/27/2019 16:29:38,
50,C,F,F,4,229,7/27/2019 16:29:38,
51,C,F,F,4,269,7/27/2019 16:29:38,
52,C,F,F,4,269,7/27/2019 16:29:38,
53,C,F,F,4,269,7/27/2019 16:29:38,
54,NA,T,NA,4,NA,7/27/2019 16:29:38,
55,HS,F,F,4,222,7/27/2019 16:29:38,
56,NA,T,NA,4,NA,7/27/2019 16:29:38,
57,HS,F,F,4,229,7/27/2019 16:29:38,
58,HS,F,F,4,229,7/27/2019 16:29:38,
59,HS,F,F,4,269,7/27/2019 16:29:38,
60,HS,F,F,4,269,7/27/2019 16:29:38,
61,NA,T,NA,4,NA,7/27/2019 16:29:38,
62,NA,T,NA,4,NA,7/27/2019 16:29:38,
63,R,F,F,4,222,7/27/2019 16:29:38,
64,R,F,F,4,222,7/27/2019 16:29:38,
65,R,F,F,4,229,7/27/2019 16:29:38,
66,R,F,F,4,229,7/27/2019 16:29:38,
67,R,F,F,4,269,7/27/2019 16:29:38,
68,R,F,F,4,269,7/27/2019 16:29:38,
69,NA,T,NA,4,NA,7/27/2019 16:29:38,
70,C,F,F,4,222,7/27/2019 16:29:38,
71,C,F,F,4,222,7/27/2019 16:29:38,
72,C,F,F,4,229,7/27/2019 16:29:38,
73,C,F,F,4,229,7/27/2019 16:29:38,
74,C,F,F,4,269,7/27/2019 16:29:38,
75,C,F,F,4,269,7/27/2019 16:29:38,
76,NA,T,NA,4,NA,7/27/2019 16:29:38,
77,NA,T,NA,4,NA,7/27/2019 16:29:38,
78,HS,F,F,4,222,7/27/2019 16:29:38,
79,HS,F,F,4,222,7/27/2019 16:29:38,
80,HS,F,F,4,229,7/27/2019 16:29:38,
81,HS,F,F,4,229,7/27/2019 16:29:38,
82,HS,F,F,4,269,7/27/2019 16:29:38,
83,HS,F,F,4,269,7/27/2019 16:29:38,
84,NA,T,NA,4,NA,7/27/2019 16:29:38,
85,NA,T,NA,4,NA,7/27/2019 16:29:38,
86,R,F,F,4,222,7/27/2019 16:29:38,
87,NA,T,NA,4,NA,7/27/2019 16:29:38,
88,R,F,F,4,229,7/27/2019 16:29:38,
89,R,F,F,4,229,7/27/2019 16:29:38,
90,R,F,F,4,269,7/27/2019 16:29:38,
91,R,F,F,4,269,7/27/2019 16:29:38,
92,NA,T,NA,4,NA,7/27/2019 16:29:38,
93,C,F,F,4,222,7/27/2019 16:29:38,
94,C,F,F,4,222,7/27/2019 16:29:38,
95,C,F,F,4,229,7/27/2019 16:29:38,
96,C,F,F,4,229,7/27/2019 16:29:38,
97,C,F,F,4,269,7/27/2019 16:29:38,
98,C,F,F,4,269,7/27/2019 16:29:38,
99,NA,T,NA,4,NA,7/27/2019 16:29:38,
100,NA,T,NA,4,NA,7/27/2019 16:29:38,
101,HS,F,F,4,222,7/27/2019 16:29:38,
102,HS,F,F,4,222,7/27/2019 16:29:38,
103,HS,F,F,4,229,7/27/2019 16:29:38,
104,HS,F,F,4,229,7/27/2019 16:29:38,
105,HS,F,F,4,269,7/27/2019 16:29:38,
106,HS,F,F,4,269,7/27/2019 16:29:38,
107,NA,T,NA,4,NA,7/27/2019 16:29:38,
108,NA,T,NA,4,NA,7/27/2019 16:29:38,
109,R,F,F,4,222,7/27/2019 16:29:38,
110,R,F,F,4,222,7/27/2019 16:29:38,2 Flies
111,R,F,F,4,229,7/27/2019 16:29:38,
112,R,F,F,4,229,7/27/2019 16:29:38,
113,R,F,F,4,269,7/27/2019 16:29:38,
114,R,F,F,4,269,7/27/2019 16:29:38,
115,NA,T,NA,4,NA,7/27/2019 16:29:38,
116,R,F,F,5,226,7/27/2019 16:29:38,
117,R,F,F,5,226,7/27/2019 16:29:38,
118,R,F,F,5,224,7/27/2019 16:29:38,
119,R,F,F,5,224,7/27/2019 16:29:38,
120,R,F,F,5,244,7/27/2019 16:29:38,
121,R,F,F,5,244,7/27/2019 16:29:38,
122,NA,T,NA,5,NA,7/27/2019 16:29:38,
123,NA,T,NA,5,NA,7/27/2019 16:29:38,
124,C,F,F,5,226,7/27/2019 16:29:38,
125,NA,T,NA,5,NA,7/27/2019 16:29:38,
126,C,F,F,5,224,7/27/2019 16:29:38,
127,C,F,F,5,224,7/27/2019 16:29:38,
128,C,F,F,5,244,7/27/2019 16:29:38,
129,C,F,F,5,244,7/27/2019 16:29:38,
130,NA,T,NA,5,NA,7/27/2019 16:29:38,
131,NA,T,NA,5,NA,7/27/2019 16:29:38,
132,HS,F,F,5,226,7/27/2019 16:29:38,
133,NA,T,NA,5,NA,7/27/2019 16:29:38,
134,HS,F,F,5,224,7/27/2019 16:29:38,
135,HS,F,F,5,224,7/27/2019 16:29:38,
136,HS,F,F,5,244,7/27/2019 16:29:38,
137,HS,F,F,5,244,7/27/2019 16:29:38,
138,NA,T,NA,5,NA,7/27/2019 16:29:38,
139,R,F,F,5,226,7/27/2019 16:29:38,
140,R,F,F,5,226,7/27/2019 16:29:38,
141,R,F,F,5,224,7/27/2019 16:29:38,
142,R,F,F,5,224,7/27/2019 16:29:38,
143,R,F,F,5,244,7/27/2019 16:29:38,
144,R,F,F,5,244,7/27/2019 16:29:38,
145,NA,T,NA,5,NA,7/27/2019 16:29:38,
