Well_orderAsTracked,Treatment,Empty,Male,Plate,Family,StartTime,Notes,Row
1,C,F,T,1,282,07/31/2019 16:52:29,,1
2,C,F,F,1,284,07/31/2019 16:52:29,,1
3,C,F,T,1,287,07/31/2019 16:52:29,,1
4,C,F,F,1,289,07/31/2019 16:52:29,,1
5,C,F,T,1,292,07/31/2019 16:52:29,,1
6,C,T,NA,1,NA,07/31/2019 16:52:29,,1
7,C,F,T,1,297,07/31/2019 16:52:29,,1
8,C,T,NA,1,NA,07/31/2019 16:52:29,,1
9,C,F,T,1,301,07/31/2019 16:52:29,,1
10,C,F,F,1,303,07/31/2019 16:52:29,,1
11,C,F,T,1,306,07/31/2019 16:52:29,,1
12,C,F,F,1,308,07/31/2019 16:52:29,,1
13,C,F,T,1,311,07/31/2019 16:52:29,,1
14,C,F,F,1,313,07/31/2019 16:52:29,,1
15,C,F,F,1,282,07/31/2019 16:52:29,,2
16,C,F,T,1,285,07/31/2019 16:52:29,,2
17,C,F,F,1,287,07/31/2019 16:52:29,,2
18,C,F,T,1,290,07/31/2019 16:52:29,,2
19,C,F,F,1,292,07/31/2019 16:52:29,,2
20,C,F,T,1,295,07/31/2019 16:52:29,,2
21,C,F,F,1,297,07/31/2019 16:52:29,,2
22,C,F,F,1,299,07/31/2019 16:52:29,,2
23,C,F,F,1,301,07/31/2019 16:52:29,,2
24,C,F,T,1,304,07/31/2019 16:52:29,,2
25,C,F,F,1,306,07/31/2019 16:52:29,,2
26,C,F,T,1,309,07/31/2019 16:52:29,,2
27,C,F,F,1,311,07/31/2019 16:52:29,,2
28,C,F,T,1,314,07/31/2019 16:52:29,,2
29,C,F,T,1,283,07/31/2019 16:52:29,,3
30,C,F,F,1,285,07/31/2019 16:52:29,,3
31,C,F,T,1,288,07/31/2019 16:52:29,,3
32,C,F,F,1,290,07/31/2019 16:52:29,,3
33,C,F,T,1,293,07/31/2019 16:52:29,,3
34,C,F,F,1,295,07/31/2019 16:52:29,,3
35,C,F,T,1,298,07/31/2019 16:52:29,,3
36,C,F,T,1,300,07/31/2019 16:52:29,,3
37,C,F,T,1,302,07/31/2019 16:52:29,,3
38,C,F,F,1,304,07/31/2019 16:52:29,,3
39,C,F,T,1,307,07/31/2019 16:52:29,,3
40,C,F,F,1,309,07/31/2019 16:52:29,,3
41,C,F,T,1,312,07/31/2019 16:52:29,,3
42,C,F,F,1,314,07/31/2019 16:52:29,,3
43,C,F,F,1,283,07/31/2019 16:52:29,,4
44,C,F,T,1,286,07/31/2019 16:52:29,,4
45,C,F,F,1,288,07/31/2019 16:52:29,,4
46,C,F,T,1,291,07/31/2019 16:52:29,,4
47,C,F,F,1,293,07/31/2019 16:52:29,,4
48,C,F,T,1,296,07/31/2019 16:52:29,,4
49,C,F,F,1,298,07/31/2019 16:52:29,,4
50,C,F,F,1,300,07/31/2019 16:52:29,,4
51,C,F,F,1,302,07/31/2019 16:52:29,,4
52,C,F,T,1,305,07/31/2019 16:52:29,,4
53,C,F,F,1,307,07/31/2019 16:52:29,,4
54,C,F,T,1,310,07/31/2019 16:52:29,,4
55,C,F,F,1,312,07/31/2019 16:52:29,,4
56,C,F,T,1,315,07/31/2019 16:52:29,,4
57,C,F,T,1,284,07/31/2019 16:52:29,,5
58,C,F,F,1,286,07/31/2019 16:52:29,,5
59,C,F,T,1,289,07/31/2019 16:52:29,,5
60,C,F,F,1,291,07/31/2019 16:52:29,,5
61,C,T,NA,1,NA,07/31/2019 16:52:29,,5
62,C,F,F,1,296,07/31/2019 16:52:29,,5
63,C,F,T,1,299,07/31/2019 16:52:29,,5
64,C,T,NA,1,NA,07/31/2019 16:52:29,,5
65,C,F,T,1,303,07/31/2019 16:52:29,,5
66,C,F,F,1,305,07/31/2019 16:52:29,,5
67,C,F,T,1,308,07/31/2019 16:52:29,,5
68,C,F,F,1,310,07/31/2019 16:52:29,,5
69,C,F,T,1,313,07/31/2019 16:52:29,,5
70,C,F,F,1,315,07/31/2019 16:52:29,,5
71,C,F,T,2,316,07/31/2019 16:52:29,,1
72,C,F,F,2,318,07/31/2019 16:52:29,,1
73,C,F,T,2,321,07/31/2019 16:52:29,,1
74,C,F,F,2,324,07/31/2019 16:52:29,,1
75,C,F,T,2,328,07/31/2019 16:52:29,,1
76,C,F,F,2,330,07/31/2019 16:52:29,,1
77,C,F,T,2,333,07/31/2019 16:52:29,,1
78,C,T,NA,2,NA,07/31/2019 16:52:29,,1
79,C,F,T,2,337,07/31/2019 16:52:29,,1
80,C,F,F,2,339,07/31/2019 16:52:29,,1
81,C,F,T,2,342,07/31/2019 16:52:29,,1
82,C,F,F,2,344,07/31/2019 16:52:29,,1
83,C,F,T,2,347,07/31/2019 16:52:29,,1
84,C,F,F,2,350,07/31/2019 16:52:29,,1
85,C,F,F,2,316,07/31/2019 16:52:29,,2
86,C,T,NA,2,NA,07/31/2019 16:52:29,,2
87,C,T,NA,2,NA,07/31/2019 16:52:29,,2
88,C,F,T,2,326,07/31/2019 16:52:29,,2
89,C,F,F,2,328,07/31/2019 16:52:29,,2
90,C,F,T,2,331,07/31/2019 16:52:29,,2
91,C,F,F,2,333,07/31/2019 16:52:29,,2
92,C,F,F,2,335,07/31/2019 16:52:29,,2
93,C,F,F,2,337,07/31/2019 16:52:29,,2
94,C,F,T,2,340,07/31/2019 16:52:29,,2
95,C,F,F,2,342,07/31/2019 16:52:29,,2
96,C,F,T,2,345,07/31/2019 16:52:29,,2
97,C,F,F,2,347,07/31/2019 16:52:29,,2
98,C,T,NA,2,NA,07/31/2019 16:52:29,,2
99,C,F,T,2,317,07/31/2019 16:52:29,,3
100,C,F,F,2,319,07/31/2019 16:52:29,,3
101,C,F,T,2,322,07/31/2019 16:52:29,,3
102,C,F,F,2,326,07/31/2019 16:52:29,,3
103,C,F,T,2,329,07/31/2019 16:52:29,,3
